frame,numero_pers,distance_x,distance_y,distance_z
47,6,261.6778,-1207.52385,0
47,7,-160.28459500000002,-1167.8328000000001,0
47,8,-691.34218,-1504.57205,0
47,9,-233.50708500000002,-1149.3821,0
47,10,-309.33691,-1176.86365,0
47,11,-413.02462,-977.37042,0
47,12,-382.67673,-110.89196,0
47,13,-703.9626499999999,-1197.4557,0
48,0,-8.922284000000001,170.640235,0
48,1,352.26822500000003,-112.93777700000001,0
48,2,-102.831458,-212.994325,0
48,3,126.04774,-1204.9832000000001,0
48,4,325.51082,-1123.0502000000001,0
48,5,194.88813,-1164.63515,0
48,6,261.680205,-1207.643,0
48,7,-160.28415,-1167.81705,0
48,8,-681.692505,-1505.176,0
48,9,-233.51573000000002,-1149.61955,0
48,10,-309.324925,-1176.81455,0
48,11,-413.912275,-983.4238499999999,0
48,12,-382.65967,-110.779434,0
48,13,-660.5183999999999,-1195.4838,0
49,0,-8.413231,177.90903500000002,0
49,1,352.314405,-112.909898,0
49,2,-99.6833875,-212.36235,0
49,3,125.926995,-1204.9459,0
49,4,325.53102,-1123.12585,0
49,5,194.81148,-1164.6143,0
49,6,261.698405,-1207.7617,0
49,7,-160.35266000000001,-1168.27315,0
49,8,-691.3891349999999,-1504.59815,0
49,9,-233.526805,-1149.67695,0
49,10,-309.2579,-1176.63665,0
49,11,-413.91827,-984.86511,0
49,12,-382.645,-110.78177,0
49,13,-659.3037850000001,-1191.0819999999999,0
50,0,-7.994377,185.012035,0
50,1,352.32307000000003,-112.930095,0
